Restaurant_Name,Rating (Out of 5),votes,cuisines,dish_liked,location,online_order,Sub-Type,Type
Sree Krishna Sagar Greens,2.8,33,"South Indian, Street Food, Chinese",,Electronic City,No,Quick Bites,Dine-out
Delhi 6 Chaats,0,0,Street Food,,HSR,No,Quick Bites,Dine-out
Gavran Misal,0,0,Street Food,,HSR,Yes,Quick Bites,Delivery
Samosa Express,3.6,23,Street Food,,HSR,Yes,Quick Bites,Delivery
Chandu Dhaba,3.8,40,"Street Food, Chinese, Fast Food",,HSR,No,Quick Bites,Dine-out
Masala Secret Eat WOW,3.6,14,"Street Food, Fast Food, Chinese, Momos",,HSR,Yes,Quick Bites,Dine-out
Amrutha Sweets,4.1,116,"Street Food, Mithai","Panipuri, Paratha, Badam Milk, Chaat, Chole Bhature, Raj Kachori, Rasmalai",HSR,No,Quick Bites,Dine-out
Kachori Kafe,3.2,571,"Street Food, Mithai, Desserts, North Indian","Kachori, Tea, Badam Milk, Lassi, Chaat, Paratha, Rabri",HSR,Yes,Quick Bites,Dine-out
Shubh Sweets,3.9,331,"Street Food, Mithai, Momos","Panipuri, Jalebi Rabri, Momos, Papdi Chaat, Dhokla, Paratha, Aloo Tikki Chat",HSR,No,"Quick Bites, Sweet Shop",Desserts
Mangala's Tea Time Cafe,0,0,"Tea, Fast Food",,Koramangala 1st Block,Yes,Quick Bites,Dine-out
Om Nom Thai,3.9,30,"Thai, Momos",Pad Thai Noodle,South Bangalore,No,Food Truck,Delivery
Vimmi's Cafe,2.8,29,American,,Indiranagar,Yes,"Takeaway, Delivery",Delivery
Polo Club - The Oberoi,4.1,115,"American, North Indian, European, Tex-Mex","Sangria, Wine, Burgers, Tea, Cheesecake, Cheese Croquettes, Chicken Grill",MG Road,No,Fine Dining,Dine-out
Banana Leaf,3.5,12,Andhra,,Domlur,No,Casual Dining,Dine-out
Reddy's Hotel,0,0,Andhra,,Indiranagar,No,Quick Bites,Dine-out
Sri Sai Ganesh Andhra Mess,0,0,Andhra,,Indiranagar,No,Quick Bites,Dine-out
The Biryanis,3.8,426,"Andhra, Biryani, North Indian","Chicken Biryani, Hyderabadi Biryani, Vegetable Biryani, Chicken Majestic, Mutton Biryani, Mirch Ka Saalan, Butter Chicken",Jeevan Bhima Nagar,Yes,Casual Dining,Dine-out
